[2026-02-17T06:03:37.712Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T06:03:48.216Z] AUTH SUCCESS: Role: admin | Path: /api/expenses?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T06:03:48.263Z] AUTH SUCCESS: Role: admin | Path: /api/expenses?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T06:04:05.798Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T06:04:05.811Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T06:04:05.845Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T06:04:05.855Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T06:10:37.731Z] AUTH SUCCESS: Role: admin | Path: /api/appointments
[2026-02-17T06:10:37.747Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T06:10:37.787Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T06:10:38.242Z] AUTH SUCCESS: Role: admin | Path: /api/appointments
[2026-02-17T06:10:38.367Z] AUTH SUCCESS: Role: admin | Path: /api/appointments/salon/698e18ebd9924bc0f55ddf3d/details
[2026-02-17T06:13:06.950Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T06:13:06.984Z] AUTH SUCCESS: Role: admin | Path: /api/appointments
[2026-02-17T06:13:07.076Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T06:13:07.116Z] AUTH SUCCESS: Role: admin | Path: /api/appointments
[2026-02-17T06:13:07.122Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T06:13:07.164Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T06:13:07.278Z] AUTH SUCCESS: Role: admin | Path: /api/appointments/salon/698e18ebd9924bc0f55ddf3d/details
[2026-02-17T06:13:22.732Z] AUTH SUCCESS: Role: admin | Path: /api/appointments/create-walkin
[2026-02-17T08:05:26.240Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T08:05:26.297Z] AUTH SUCCESS: Role: admin | Path: /api/appointments
[2026-02-17T08:05:26.401Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T08:05:26.439Z] AUTH SUCCESS: Role: admin | Path: /api/appointments
[2026-02-17T08:05:26.492Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T08:05:26.535Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T08:05:26.730Z] AUTH SUCCESS: Role: admin | Path: /api/appointments/salon/698e18ebd9924bc0f55ddf3d/details
[2026-02-17T08:05:46.529Z] AUTH SUCCESS: Role: admin | Path: /api/staff?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:05:46.537Z] AUTH SUCCESS: Role: admin | Path: /api/services?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:05:46.591Z] AUTH SUCCESS: Role: admin | Path: /api/services?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:05:46.600Z] AUTH SUCCESS: Role: admin | Path: /api/staff?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:06:01.829Z] AUTH SUCCESS: Role: admin | Path: /api/expenses?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:06:01.856Z] AUTH SUCCESS: Role: admin | Path: /api/expenses?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:06:43.780Z] AUTH SUCCESS: Role: admin | Path: /api/expenses
[2026-02-17T08:06:43.873Z] AUTH SUCCESS: Role: admin | Path: /api/expenses?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:06:54.626Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:06:54.632Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:06:54.657Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:06:54.666Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:07:48.682Z] AUTH SUCCESS: Role: admin | Path: /api/expenses?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:07:48.698Z] AUTH SUCCESS: Role: admin | Path: /api/expenses?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:07:53.973Z] AUTH SUCCESS: Role: admin | Path: /api/expenses/699421936b2a9ecb4eafe366?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:07:54.161Z] AUTH SUCCESS: Role: admin | Path: /api/expenses?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:11:45.837Z] AUTH SUCCESS: Role: admin | Path: /api/expenses?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:11:45.859Z] AUTH SUCCESS: Role: admin | Path: /api/expenses?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:11:50.497Z] AUTH SUCCESS: Role: admin | Path: /api/adminProfile/profile
[2026-02-17T08:11:50.520Z] AUTH SUCCESS: Role: admin | Path: /api/adminProfile/profile
[2026-02-17T08:11:50.729Z] AUTH SUCCESS: Role: admin | Path: /api/adminProfile/profile
[2026-02-17T08:11:50.752Z] AUTH SUCCESS: Role: admin | Path: /api/adminProfile/profile
[2026-02-17T08:12:34.187Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:12:34.197Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:12:34.211Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:12:34.220Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:12:49.348Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/699360c0b38049a126b8b76f
[2026-02-17T08:12:49.460Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:12:49.471Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:14:21.491Z] AUTH SUCCESS: Role: admin | Path: /api/inventory
[2026-02-17T08:14:21.537Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:14:21.546Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:15:58.051Z] AUTH SUCCESS: Role: admin | Path: /api/adminProfile/profile
[2026-02-17T08:15:58.108Z] AUTH SUCCESS: Role: admin | Path: /api/adminProfile/profile
[2026-02-17T08:16:01.373Z] AUTH SUCCESS: Role: admin | Path: /api/appointments?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:16:01.528Z] AUTH SUCCESS: Role: admin | Path: /api/appointments?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:16:03.609Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T08:16:03.629Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T08:16:12.993Z] AUTH SUCCESS: Role: admin | Path: /api/appointments
[2026-02-17T08:16:13.006Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T08:16:13.036Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T08:16:13.046Z] AUTH SUCCESS: Role: admin | Path: /api/appointments
[2026-02-17T08:16:13.091Z] AUTH SUCCESS: Role: admin | Path: /api/appointments/salon/698e18ebd9924bc0f55ddf3d/details
[2026-02-17T08:17:40.214Z] AUTH SUCCESS: Role: admin | Path: /api/appointments/create-walkin
[2026-02-17T08:17:55.988Z] AUTH SUCCESS: Role: admin | Path: /api/expenses?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:17:56.005Z] AUTH SUCCESS: Role: admin | Path: /api/expenses?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:18:08.259Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:18:08.269Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:18:08.298Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:18:08.305Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:18:26.992Z] AUTH SUCCESS: Role: admin | Path: /api/expenses/summary?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:18:27.004Z] AUTH SUCCESS: Role: admin | Path: /api/expenses?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:18:27.017Z] AUTH SUCCESS: Role: admin | Path: /api/expenses/summary?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:18:27.055Z] AUTH SUCCESS: Role: admin | Path: /api/expenses?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:18:32.092Z] AUTH SUCCESS: Role: admin | Path: /api/categories?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:18:32.103Z] AUTH SUCCESS: Role: admin | Path: /api/staff?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:18:32.111Z] AUTH SUCCESS: Role: admin | Path: /api/services?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:18:32.143Z] AUTH SUCCESS: Role: admin | Path: /api/categories?salonId=698e18ebd9924bc0f55ddf3d
